"LIST MEAS DATA"

"File name","LIST0022.CSV"

"Model","LCR-6300","REV E8.11"

"Log Time","2024-03-28 00:26:39"

"FREQ[Hz]","LMT","Z(OHM)","Phase-d( )","CMP"
+1.000E+01,-,+3.33127E+08,-4.49115E+01,-
+2.000E+01,-,+3.85145E+06,-9.85601E+01,-
+3.000E+01,-,+5.71978E+06,+1.05659E+02,-
+4.000E+01,-,+1.06295E+06,-1.12729E+02,-
+5.000E+01,-,+1.07705E+06,+1.69449E+02,-
+6.000E+01,-,+8.48620E+07,-3.14046E+01,-
+7.000E+01,-,+5.57582E+06,+1.33491E+02,-
+8.000E+01,-,+5.83936E+06,-1.59496E+02,-
+9.000E+01,-,+1.47829E+06,-6.04462E+01,-
+1.000E+02,-,+5.84499E+06,+3.70522E+00,-
+1.000E+01,-,+4.14534E+08,-1.28353E+02,-
+2.000E+01,-,+1.08948E+07,+1.19841E+02,-
+3.000E+01,-,+3.80952E+06,-8.90023E+01,-
+4.000E+01,-,+1.13060E+06,+2.77126E+01,-
+5.000E+01,-,+1.08669E+06,+4.80910E+01,-
+6.000E+01,-,+8.47437E+07,-1.77732E+02,-
+7.000E+01,-,+1.00469E+07,-9.77527E+01,-
+8.000E+01,-,+6.29621E+06,+8.55626E+01,-
+9.000E+01,-,+2.34912E+06,+1.45588E+02,-
+1.000E+02,-,+6.32446E+06,+9.01164E+01,-
+1.000E+01,-,+2.37484E+08,-6.56680E+00,-
+2.000E+01,-,+7.00403E+06,+4.56239E+01,-
+3.000E+01,-,+5.66947E+06,+7.56422E+01,-
+4.000E+01,-,+1.38743E+06,+1.49668E+02,-
+5.000E+01,-,+1.10614E+06,-7.96339E+01,-
+6.000E+01,-,+7.35329E+07,-6.00223E+01,-
+7.000E+01,-,+5.31946E+06,-9.16780E+00,-
+8.000E+01,-,+7.16401E+06,-2.26637E+01,-
+9.000E+01,-,+2.47723E+06,+8.39181E+01,-
+1.000E+02,-,+5.75167E+06,-1.43752E+02,-
+1.000E+01,-,+3.26464E+08,-3.73936E+01,-
+2.000E+01,-,+3.66919E+06,-1.05980E+02,-
+3.000E+01,-,+1.48930E+07,+1.33159E+02,-
+4.000E+01,-,+1.24133E+06,-7.91122E+01,-
+5.000E+01,-,+1.08473E+06,+1.35201E+02,-
+6.000E+01,-,+2.79177E+08,-3.66007E+01,-
+7.000E+01,-,+4.16157E+06,+1.47098E+02,-
+8.000E+01,-,+7.18876E+06,-6.91028E+01,-
+9.000E+01,-,+2.08118E+06,-8.25430E+01,-
+1.000E+02,-,+5.78490E+06,-1.17106E+02,-
+1.000E+01,-,+2.79619E+08,-1.38931E+02,-
+2.000E+01,-,+3.71291E+06,+6.63685E+01,-
+3.000E+01,-,+1.51133E+07,+8.14374E+00,-
+4.000E+01,-,+1.36805E+06,+1.16361E+02,-
+5.000E+01,-,+1.09317E+06,-6.00003E+01,-
+6.000E+01,-,+1.29964E+08,-7.09576E+01,-
+7.000E+01,-,+5.76288E+06,-9.51244E+00,-
+8.000E+01,-,+8.30876E+06,-1.14767E+01,-
+9.000E+01,-,+4.00281E+06,+5.06594E+01,-
+1.000E+02,-,+6.66442E+06,+1.66128E+02,-
+1.000E+01,-,+2.98277E+08,+5.61979E+01,-
+2.000E+01,-,+6.04591E+06,-1.32028E+02,-
+3.000E+01,-,+5.50058E+06,-1.00743E+02,-
+4.000E+01,-,+1.37157E+06,-4.26496E+00,-
+5.000E+01,-,+1.07249E+06,+7.85439E+01,-
+6.000E+01,-,+8.73674E+07,-1.55393E+02,-
+7.000E+01,-,+1.52138E+07,+1.63863E+02,-
+8.000E+01,-,+7.10450E+06,+4.97328E+01,-
+9.000E+01,-,+3.56247E+06,+1.69284E+02,-
+1.000E+02,-,+6.83557E+06,+1.26432E+02,-
+1.000E+01,-,+3.72690E+09,-1.77778E+02,-
+2.000E+01,-,+7.22818E+06,+4.36566E+01,-
+3.000E+01,-,+5.07121E+06,+8.08071E+01,-
+4.000E+01,-,+1.38250E+06,+1.65255E+02,-
+5.000E+01,-,+1.08699E+06,-9.96306E+01,-
+6.000E+01,-,+3.88134E+07,-7.35355E+01,-
+7.000E+01,-,+5.17441E+06,+2.31961E+01,-
+8.000E+01,-,+7.84074E+06,+5.79984E+01,-
+9.000E+01,-,+3.14047E+06,-1.75474E+01,-
+1.000E+02,-,+6.78604E+06,+1.04888E+02,-
+1.000E+01,-,+6.32985E+08,-6.65650E+01,-
+2.000E+01,-,+1.41025E+07,+1.55153E+02,-
+3.000E+01,-,+3.83708E+06,-9.00470E+01,-
+4.000E+01,-,+1.15600E+06,+2.92879E+01,-
+5.000E+01,-,+1.08497E+06,+3.59174E+01,-
+6.000E+01,-,+9.00900E+07,-1.73238E+02,-
+7.000E+01,-,+5.05923E+06,-8.57941E+01,-
+8.000E+01,-,+8.28077E+06,+1.71398E+02,-
+9.000E+01,-,+1.65149E+06,+1.24672E+02,-
+1.000E+02,-,+6.42124E+06,-3.31546E+01,-
+1.000E+01,-,+2.39402E+08,-3.51451E+01,-
+2.000E+01,-,+3.89336E+06,-9.87884E+01,-
+3.000E+01,-,+7.61249E+06,+1.23305E+02,-
+4.000E+01,-,+1.18930E+06,-9.05869E+01,-
+5.000E+01,-,+1.12757E+06,+1.38437E+02,-
